Name,,Fiscal Year,Pitchbook Link,Company Name,Year Founded,Employee Growth ,Current Employees,Keywords,Verticals,All Industries,Lead/Sole Investors,# Follow-on Investors,Financing Status,Business Status,Deal Date,Total Invested Equity,Raised to Date,Deal Class,Deal Type,VC Round,Deal Type 2,Deal Size,Series,Deal No.,VC Round Up/Down/Flat,Current Financing Status,Financing Status Note,Current Business Status,Description,Investors,Deal Synopsis,Deal Date
SympliFI,,,https://pitchbook.com/profiles/company/464454-10,SympliFI,2019,"2021: 4, 2018: 2",5,"digital  marketplace, financial services, financial software system, fintech,  global remittance, lending platform, lending service, money transfer  firm","FinTech, Mobile",Financial Software*,Flori Ventures,,Venture Capital-Backed,Generating Revenue,01/06/2022,,0.59,Venture Capital,Later Stage VC,3,,,,4,,Venture Capital-Backed,The company raised an undisclosed amount of venture funding from Flori Ventures in approximately June 2022.,Generating Revenue,"Developer  of an online lending application designed to provide cross-border  credit. The company's platform offers insurance products and bill  payment services, enabling individuals, who live outside their home  country, to directly access financial services back home for themselves  and their families, at the touch of a button.",Flori Ventures,"The  company raised GBP 147,908 of venture funding from Fil Rouge Capital,  SFC Capital, and other undisclosed investors on March 9, 2022, putting  the company's pre-money valuation at GBP 782,185.",
Kroo,,,https://pitchbook.com/profiles/company/221945-05,Kroo,2016,"2021: 50, 2020: 47",80,"cash  payment software, e-money account, financial mobile application, money  exchange app, social payment, social payment platform","FinTech, Mobile, Mobile Commerce","Application Software, Financial Software*, Other Financial Services, Social/Platform Software",,2,Venture Capital-Backed,Generating Revenue,31/05/2022,32.35,74.49,Venture Capital,Later Stage VC,5,Series B,32.35,Series B,5,,Venture Capital-Backed,"The  company is reportedly seeking Series C venture funding from undisclosed  investors. Previously, the company raised GBP 26 million of venture  funding from Karlani Capital and Rudy Karsan on May 31, 2022. The funds  will be used in supporting the launch to market of the company's current  account, the development of their lending proposition, and the scaling  up of the company.",Generating Revenue,"Developer  of a payment mobile application designed to simplify cashless  transactions. The company's application offers its users to do share  payments using prepaid debit cards among the members of a social group,  enabling users to automate, secure and facilitate mobile payments and  improve the way how friends and families deal with money.","Karlani Capital, Nooruddin Karsan (Nooruddin Karsan)","The  company raised GBP 1.52 million of venture funding from undisclosed  investors on November 12, 2018, putting the company's pre-money  valuation at GBP 6.19 million.",
Debite,,,https://pitchbook.com/profiles/company/494532-82,Debite,#N/A,#N/A,10,"early stage financer, early stage financing, finance, finance company, financing platform, financing platform developer",FinTech,"Financial Software*, Other Financial Services, Specialized Finance",,,Venture Capital-Backed,Generating Revenue,30/05/2022,,,Venture Capital,Seed Round,1,Seed Round,3.11,,1,,Venture Capital-Backed,"The  company raised GBP 2.5 million of seed funding through a combination of  debt and equity from QNBEYOND Ventures and Platform XIT on May 30,  2022, putting the company's pre-money valuation at GBP 5.14 million. The  funds will be used to explore future funding options later this year  and plans to hire 20 additional staff.",Generating Revenue,"Developer  of a financing platform designed to support the growth of early-stage  companies. The company's platform is based on traditional short-term  lending and B2B BNPL in a virtual card for software payments and  equipment and inventory purchases, enabling early-stage companies to  benefit from annual plan discounts and to spread payments over more  reasonable monthly installments allowing early-stage companies to save  and spend on better terms and have a healthier cash flow.","Platform XIT, QNBEYOND Ventures","The  company raised GBP 522,250 amount of seed funding from FJ Labs and  other undisclosed investors on January 1, 2021, putting the company's  pre-money valuation at GBP 2 million.",
Merge (Financial Software),,,https://pitchbook.com/profiles/company/496596-97,Merge (Financial Software),#N/A,#N/A,10,"application  programming interface, application programming interface platform,  application programming interface software, digital asset economy,  financial services, financial services app, financial services company,  financial services website","Cryptocurrency/Blockchain, FinTech","Financial Software*, Other Financial Services",Octopus Ventures,,Venture Capital-Backed,Startup,30/05/2022,9.5,9.5,Venture Capital,Seed Round,1,Seed Round,9.5,,1,,Venture Capital-Backed,"The  company raised $9.5 million of seed funding in a deal led by Octopus  Ventures on May 30, 2022. Coinbase Ventures, Alameda Research, Ethereal  Ventures, Real Ventures undefined Hashed (Accelerator) also participated  in the round.",Startup,"Provider  of financial services intended for the digital asset economy. The  company provides an application programming interface to power banking  and payments for the crypto economy, enabling users to convert funds  between fiat and cryptocurrency instantly with low costs and no hassle.","Alameda Research, Coinbase Ventures, Ethereal Ventures, Hashed (Accelerator), Octopus Ventures, Real Ventures",The company raised venture funding from BR Capital and 7 other investors in approximately January 2021.,
Multiply (Financial Software),,2021,https://pitchbook.com/profiles/company/174759-22,Multiply (Financial Software),2016,84.22083333,14,"automated  investing, finance planning, financial adviser, financial advisor,  financial advisory app, financial service, investment planning, money  management, money news","Artificial Intelligence & Machine Learning, FinTech, Mobile, TMT","Financial Software*, Other Financial Services",Irish Life Assurance (Declan Bolger),,Venture Capital-Backed,Generating Revenue,29/05/2022,,4.57,Venture Capital,Later Stage VC,4,,,,5,,Venture Capital-Backed,"The company raised an undisclosed amount of venture funding from Irish Life Assurance on May 29, 2022.",Generating Revenue,"Developer  of a financial advisory application designed to offer interactive and  adaptive personalized financial plans with specific product  recommendations. The company's software helps to predict cash flows and  expenses while ensuring that the information is fully secure, enabling  users to manage their money, savings, and investments.",Irish Life Assurance (Declan Bolger),"The  company raised $1.5 million of seed funding from Angelrush on June 7,  2017. The funds will be used to expand its development efforts.",
Project Imagine,,,https://pitchbook.com/profiles/company/265215-61,Project Imagine,2018,"2021: 40, 2019: 36",19,"fintech  company, fintech platform, fintech services, fintech startup,  personalized finance, robo advisor, wealth management application",FinTech,"Financial Software*, Other Financial Services",,,Venture Capital-Backed,Generating Revenue,27/05/2022,8.72,24.89,Venture Capital,Early Stage VC,4,,8.72,,6,Up Round,Venture Capital-Backed,"The  company raised GBP 7.02 million of venture funding from undisclosed  investors on May 27, 2022, putting the company's pre-money valuation at  GBP 70.92 million.",Generating Revenue,"Developer  of a financial platform intended to offer proprietary financial  products as a new banking and wealth management alternative. The  company's platform helps users to track their money across spending,  savings, and investment buckets in a single home screen and access a  current account, budgeting tool, and an investment manager in one  application, enabling individuals to access reliable and easier control  of their finances to grow financially.",,"The company raised EUR 500,000 of seed funding from Practica Capital on December 21, 2012.",
Revoland,,,https://pitchbook.com/profiles/company/497509-66,Revoland,#N/A,#N/A,,"blockchain games, blockchain technology, crypto currencies, digital investment, esports app, nft games","Cryptocurrency/Blockchain, Esports, FinTech, Gaming","Entertainment Software, Other Financial Services*",AKG Ventures,,Venture Capital-Backed,Generating Revenue,27/05/2022,10,10,Venture Capital,Early Stage VC,1,,10,,1,,Venture Capital-Backed,"The  company raised $10 million of venture funding in a deal led by AKG  Ventures and Polygon Ventures on May 27, 2022. Hashkey Capital, Tian Ge  Interactive, Atlas Capital (UAE), One Block Capital, Arcanum Capital,  LINKVC, CryptoNord and MX Investments also participated in the round.",Generating Revenue,"Developer  of a blockchain-based multiplayer online game designed to connect  crypto owners with gamers. The company provides a play-and-own model to  users who can be the rightful owners of assets, which are earned through  gameplay and a non- fungible token marketplace, enabling players to  compete in an esports game to own digital assets.","AKG Ventures, Arcanum Capital, Atlas Capital (UAE), CryptoNord, Hashkey Capital, LINKVC, MX Investments, One Block Capital, Tian Ge Interactive (HKG: 01980)","The  company raised $267,000 of venture funding from Practica Capital,  Donatas Dorofeeva and Donatas Keras on August 20, 2013. Other  undisclosed investors also participated in the round.",
GivePenny,,,https://pitchbook.com/profiles/company/481375-00,GivePenny,2015,"2021: 22, 2019: 3, 2018: 3",25,"charity  fundraising platform, fundraising site, online fundraising, online  fundraising campaigns, online fundraising platform, online fundraising  tool","FinTech, SaaS, TMT","Financial Software, Media and Information Services (B2B)*, Other Financial Services, Social/Platform Software",Midlands Engine Investment Fund,,Venture Capital-Backed,Generating Revenue,25/05/2022,1.57,2.67,Venture Capital,Early Stage VC,1,,1.57,,3,Down Round,Venture Capital-Backed,"The  company raised GBP 1.26 million of venture funding in a deal led by  Midlands Engine Investment Fund on May 25, 2022, putting the company's  pre-money valuation at GBP 2.25 million. Other undisclosed investors  also participated in the round.",Generating Revenue,"Developer  of a connected digital toolkit designed to create effective charity  fundraising events. The company's digital toolkit integrates with  different popular apps and websites to create fundraising challenges to  drive social engagement, fundraiser motivation, and successful  fundraising, enabling charities and aspiring fundraisers to create  fortunate fundraising events",Midlands Engine Investment Fund,"The  company raised GBP 4.10 million of venture funding in a deal led by  Thames Trust on November 7, 2021, putting the company's pre-money  valuation at GBP 15.61 million. ACE & Company, Lingfeng Capital,  Downing Ventures, and Majlis Investment Management also participated in  the round. The funds will be used to continue to scale and invest in  research and development, including the application of Artificial  Intelligence (AI) to deliver hyper-personalized digital customer  experiences.",
Adsum (Business/Productivity Software),,,https://pitchbook.com/profiles/company/497234-26,Adsum (Business/Productivity Software),#N/A,#N/A,15,"cash  flow maximiser, fintech platform, fintech platform developer, hmrc  process, tax agency, tax credit advances, tax credit advances funding,  tax credit claims, tax credit information, tax credit platform",FinTech,"Business/Productivity Software*, Financial Software","Digital Horizon, Episode 1 Ventures",,Venture Capital-Backed,Generating Revenue,23/05/2022,5,5,Venture Capital,Early Stage VC,1,,5,,1,,Venture Capital-Backed,"The  company raised $5 million of venture funding in a deal led by Episode 1  Ventures and Digital Horizon on May 23, 2022. d2 investment and other  undisclosed angel investors also participated in the round.",Generating Revenue,"Developer  of fintech platform intended to calculate and advance user tax credits  and refunds. The company's platform handles HM revenue and customs  (HMRC) process from calculation to recovery, Identifying and accessing  the R&D credits owed to the users and calculating the maximum amount  companies can claim, advancing the tax credits up to a year ahead of  when HMRC would ordinarily pay out, enabling companies to maximize their  cash flow and focus on investment and growth.","d2 investment, Digital Horizon, Episode 1 Ventures",The company joined Plug and Play Tech Center on an undisclosed date.,
Creditspring,,,https://pitchbook.com/profiles/company/184626-64,Creditspring,2016,0,47,"financial service, loans subscription, personal finance service, personal financial management, personal financing platform","FinTech, TMT","Consumer Finance*, Financial Software",Monomyth Group (Chip Dunn),,Venture Capital-Backed,Generating Revenue,23/05/2022,59.77,85.76,Venture Capital,Seed Round,1,Seed Round,59.77,,5,,Venture Capital-Backed,"The  company raised GBP 48 million of seed funding in a deal led by Monomyth  Group on May 23, 2022. Other undisclosed investors also participated in  the round. The company intends to support more members to avoid  high-cost, unscrupulous lenders and manage their finances through the  cost of living crisis, which continues to tighten its grip across the  UK.",Generating Revenue,"Developer  of a consumer credit platform designed to improve financial stability  by giving people the credit they deserve. The company's platform offers  no interest to pay on loans, doesn't charge late fees if the customers  are unable to pay, and lets them borrow money after the end of the  withdrawal period, enabling people without savings to manage unexpected  expenses and stay in control of their lives.",Monomyth Group (Chip Dunn),"The  company raised GBP 816,600 of seed funding from undisclosed investors  on March 12, 2012, putting the pre-money valuation at GBP 500,000.",
Freetrade,,,https://pitchbook.com/profiles/company/166855-60,Freetrade,2015,"2021: 262, 2020: 80",382,"commissioning  free investment, discount broker, discount brokerage, investment  platform, online investment, stock market investment","FinTech, Mobile, TMT","Brokerage, Financial Software*",,3,Venture Capital-Backed,Generating Revenue,23/05/2022,,96.94,Venture Capital,Later Stage VC,5,,37.36,,16,,Venture Capital-Backed,"The  company raised GBP 30 million of venture funding in the form of  convertible debt from L Catterton, Capricorn Capital Partners, and  Phoenix Equity Partners on May 23, 2022. Molten Ventures and Left Lane  Capital also participated in the round. The funds will be used to build  up the company's finance without having to affix a new valuation amid  difficult market conditions as well as for international expansion.",Generating Revenue,"Developer  of a mobile stock trading platform designed to help make  commission-free trades in the stock markets. The company's platform  educates everyone about the benefits of long-term investing, offers  clear and simple pricing, and provides a network to connect with  independent financial advisers, enabling users to save brokerage and  trade fees to increase returns on their investments.","Capricorn Capital Partners (South Africa), L Catterton, Left Lane Capital, Molten Ventures (LON: GROW), Phoenix Equity Partners","The  company raised GBP 3.78 million of Series A venture funding from  CoinShares Ventures, The Tezos Foundation and David Chreng on October  11, 2019, putting the company's pre-money valuation at GBP 12.00  million. The funds will be used to accelerate its success in bringing  capital markets into the digital age.",
Scroll Finance,,,https://pitchbook.com/profiles/company/490994-92,Scroll Finance,#N/A,#N/A,13,"debt  consolidation, embedded lending, financial services, fintech, green  home products, green mortgage, heloc, home equity, home equity access,  home equity lender, home equity lending, home equity loan provider, home  equity loans, home improvement, homeowners loans, property investment,  property investment fund",FinTech,"Consumer Finance*, Financial Software",,,Venture Capital-Backed,Startup,23/05/2022,3.25,5.05,Venture Capital,Early Stage VC,2,,3.25,,2,,Venture Capital-Backed,"The  company announced it will raise an undisclosed amount of seed funding  on an undisclosed date. Previously, the company raised GBP 2.61 million  of venture funding from undisclosed investors on May 23, 2022, putting  the company's pre-money valuation at GBP 9.48 million.",Startup,"Provider  of home equity loan and developer of a fintech setup designed to offer  smart financing to homeowners and landlords. The company specializes in  offering home or property equity for essential needs such as home  improvement, property investment, debt consolidation, green upgrades,  debt consolidation, property investment, and more, thereby enabling  homeowners to unlock their home and property wealth and offer flexible  financing.",,"The company raised $2.3 million of seed funding from Deswal Investment Group and undisclosed investors on November 2, 2021.",
Tranch,,,https://pitchbook.com/profiles/company/497228-86,Tranch,#N/A,#N/A,10,"bnpl, business payments platform, expense finance, fintech platform, payment options, payment options facility","FinTech, SaaS",Financial Software*,Flash Ventures,,Venture Capital-Backed,Startup,23/05/2022,3.11,4.36,Venture Capital,Seed Round,1,Seed Round,4.36,,1,,Venture Capital-Backed,"The  company raised GBP 3.5 million of seed funding in a deal led by Flash  Ventures on May 23, 2022. Global Founders Capital, Columbia Lake  Partners undefined Y Combinator also participated in the round. The  funds will be used to grow the team, as well as onboard more suppliers  across multiple verticals as the company continues its growth in the  U.K. and the U.S.",Generating Revenue,"Developer  of fintech platform designed for payment flexibility to B2B by offering  expense financing services for fast-growing businesses. The company's  platform specializes in flexible new forms of expense financing for  fast-growing businesses with bulky expenses and takes control of cash  flow and prioritizes spending on growth, enabling companies to pay for  SaaS and other business services on terms that work for both them and  their suppliers.","Columbia Lake Partners, Flash Ventures, Global Founders Capital, Y Combinator","The company raised $250,000 of seed funding from Animoca Brands, Brinc and University of Cambridge on January 28, 2022.",
Vertice,,,https://pitchbook.com/profiles/company/496683-55,Vertice,#N/A,#N/A,28,"financial platform, purchasing solutions, saas, saas procurement platform, saas purchasing, saas purchasing solution","FinTech, SaaS","Business/Productivity Software, Financial Software*, Media and Information Services (B2B)","83North (Laurel Bowden), Bessemer Venture Partners (Adam Fisher)",,Venture Capital-Backed,Startup,19/05/2022,26,26,Venture Capital,Early Stage VC,1,Series A,26,Series A,1,,Venture Capital-Backed,"The  company raised $26 million of Series A venture funding in a deal led by  83North and Bessemer Venture Partners on May 19, 2022. Juan Manuel  Fernández Lobato, Omri Dahan, Ronni Zehavi, Tom Ryan, Yuval Tal, Bastian  Nominacher, and other undisclosed investors also participated in the  round. The funds will be used to accelerate the company's growth,  including expanding the engineering and commercial teams, helping  further develop the platform, and accelerating global revenue growth.",Generating Revenue,"Developer  of tech-enabled SaaS purchasing platform designed to help save on  annual software expenditure. The company's platform leverages extensive  data intelligence covering thousands of SaaS transactions, by utilizing  SaaS procurement expertise to negotiate contracts on behalf of clients,  streamlining the entire software purchasing process, and enabling  finance leaders with full visibility into SaaS stacks to make strategic  purchasing decisions.","83North (Laurel Bowden), Bastian Nominacher (Bastian Nominacher), Bessemer Venture Partners (Adam Fisher), Juan Lobato (Juan Lobato), Omri Dahan (Omri Dahan), Ronni Zehavi (Ronni Zehavi), Thomas Ryan (Thomas Ryan), Yuval Tal (Yuval Tal)","The  company raised GBP 224,987 of venture funding from XTX Ventures and  other undisclosed investors on November 22, 2018, putting the company's  pre-money valuation at GBP 2.37 million.",
